discovered_date,first_seen,last_seen,source_domain,source_url,target_url,anchor_text,link_type,domain_quality,topical_relevance,local_relevance,traffic_estimate,competitor_link,acquisition_method,status,opportunity_score,outreach_status,contact,response,placement_status,notes
2026-09-05,,,caconnect.icai.org,https://caconnect.icai.org/,https://cashahnawaz.com/,,listing,PROXY-SCORED - official ICAI regulator platform,high,high,PROXY-SCORED,no,eligibility,prospect,96,none,Via ICAI member login,,none,"PRIORITY A. Confidence LIKELY - page fetched, eligibility + optional website field confirmed. Firm qualifies by right (COP; FRN 151767W). ICAI-approved alternative to commercial aggregators - no conduct ambiguity. BLOCKED on address confirmation."
2026-09-05,,,taxguru.in,https://taxguru.in/chartered-accountant/invitation-to-join-taxguru-in-panel-of-esteemed-authors.html,https://cashahnawaz.com/,,editorial,PROXY-SCORED - established Indian tax portal,high,low,PROXY-SCORED,no,editorial,prospect,82,none,info@taxguru.in (published on site),,none,"PRIORITY B. Bylined author article with credit. Contact is PUBLISHED not guessed. Submission guidelines not published - must request. Article must be genuinely educational; promotional content fails both editorial bar and ICAI solicitation rule. Business relevance capped 6/10 - audience is professionals not clients."
2026-09-05,,,ctconline.org,https://ctconline.org/memberships,https://cashahnawaz.com/,,listing,PROXY-SCORED - est 1926 ~3500 members,high,high,PROXY-SCORED,no,eligibility,prospect,81,none,Membership form on site; office New Marine Lines Mumbai,,none,"PRIORITY B. Confidence POSSIBLE. NO PUBLIC MEMBER DIRECTORY FOUND - link NOT confirmed. Value is authority + relationship + contribution routes (publications, events, committees). Membership 2026-27 open. Join for professional value, not as a link purchase."
2026-09-05,,,bcasonline.org,https://bcasonline.org/,https://cashahnawaz.com/,,editorial,PROXY-SCORED - est 1949 12000+ members BCAJ 40+ yrs,high,high,PROXY-SCORED,no,eligibility,prospect,81,none,Membership portal on site,,none,"PRIORITY B. Confidence POSSIBLE. NO PUBLIC MEMBER DIRECTORY FOUND. Real mechanism is contribution: BCA Journal, Thought Mailers, Internal Audit blog, study circle papers - these carry bylined credit. Membership alone is not the link."
2026-09-05,,,caclubindia.com,https://www.caclubindia.com/,https://cashahnawaz.com/,,profile,PROXY-SCORED - large Indian finance community,high,low,PROXY-SCORED,no,editorial,prospect,77,none,Site registration,,none,"PRIORITY B. Confidence POSSIBLE. 3M+ members is the PLATFORM CLAIM, not a verified metric. Must verify whether profile carries a followed website link BEFORE spending effort. Article byline is the stronger route."
2026-09-05,,,mctconline.org,https://www.mctconline.org/,https://cashahnawaz.com/,,listing,PROXY-SCORED - est 1978 local body,high,high,PROXY-SCORED,no,eligibility,prospect,70,none,Get Membership link on site,,none,"PRIORITY B (borderline). Confidence POSSIBLE. Malad West - approx 4km from Jogeshwari West office. Open to CAs. Fees/process not published on fetched page. NO PUBLIC DIRECTORY FOUND. Lowest authority/traffic of Tier 1, highest locality."
2026-09-05,,,google.com,https://business.google.com/,https://cashahnawaz.com/,,listing,N/A - not a backlink,high,high,DATA NOT AVAILABLE,no,eligibility,prospect,,none,User must access GBP Manager directly,,none,"NOT A BACKLINK - passes no link equity. But THE ranking asset for 'CA near me' / 'CA in Jogeshwari'. No GBP connector in this project - current state DATA NOT AVAILABLE, user must check. BLOCKED on address confirmation."
2026-09-05,,,linkedin.com,https://www.linkedin.com/,https://cashahnawaz.com/,,profile,N/A - nofollow,high,medium,DATA NOT AVAILABLE,no,eligibility,prospect,,none,User account,,none,"Nofollow - no link equity. Value is a controlled corroborating entity source for the sameAs set. Reconcile Facebook spelling 'CA.Shanawaz' (one h) vs 'Shahnawaz' at the same time. Routed to entity-seo."
2026-09-05,,,justdial.com,https://www.justdial.com/Mumbai/Shahnawaz-and-Associates-Near-Railway-Station-Jogeshwari-West/022PXX22-XX22-191030110644-R5G6_BZDET,https://cashahnawaz.com/,,directory,PROXY-SCORED - commercial aggregator,medium,high,PROXY-SCORED,no,existing,prospect,,none,Listing claim process,,none,"EXISTING listing - CORRECTION not creation. Publishes B/110 1st Floor, conflicts with website C-18 Ground Floor. DOUBLE-GATED: (1) address unconfirmed (2) ICAI aggregator + third-party contact-address position unresolved. Do not touch until both are settled."
2026-09-05,,,sulekha.com,https://www.sulekha.com/chartered-accountants/jogeshwari-east-mumbai,https://cashahnawaz.com/,,directory,PROXY-SCORED - commercial aggregator,medium,high,PROXY-SCORED,no,existing,prospect,,none,Listing claim process,,none,"Category page for Jogeshwari East CAs exists. Same double gate as Justdial. Lower value than items 1-6. Do not pursue ahead of the ICAI compliance question."
