URL,Page Type,Priority Tier,Live Fetch Attempted,Fetch Result,HTTP Status If Available,Indexability Evidence,Canonical Evidence,Title Evidence,H1 Evidence,Notes
https://cashahnawaz.com/,Homepage,Tier 1,Yes,"PARTIALLY VERIFIED — loaded successfully (Phase 0 fetch), no error page observed, but head-level fields not surfaced",DATA NOT AVAILABLE (no raw header tool),"200-equivalent (no error page); meta robots NOT VISIBLE (tool limitation, per 00-capability-check.md)",NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation) — capability-check.md: head-level tags including title were not surfaced despite a dedicated attempt,Not recorded in Phase 0 evidence files (no H1 quote captured this session),"lastmod 2026-08-19; primary entry point; body content (nav/forms/CTAs) reliably surfaced per capability-check.md"
https://cashahnawaz.com/gst-registration-online/,Service Page (GST),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""GST Registration Online In Mumbai | Expert CA Consultant"" (confirmed, site-inventory.csv)",Not separately quoted in Phase 0 evidence files,lastmod 2026-06-18; Tier 1 priority service page (GST Registration — CLAUDE.md priority)
https://cashahnawaz.com/gst-return-filing/,Service Page (GST),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""GST Filing Services In Mumbai | Professional CA Support"" (confirmed, site-inventory.csv)",Not separately quoted in Phase 0 evidence files,lastmod 2026-07-22; Tier 1 priority service page (GST Return Filing — CLAUDE.md priority)
https://cashahnawaz.com/income-tax-return-filing-in-mumbai/,Service Page (Income Tax),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Title confirmed present (exact string not preserved in Phase 0 notes),Not separately quoted in Phase 0 evidence files,lastmod 2026-07-22; Tier 1 priority service page (Income Tax Return Filing — CLAUDE.md priority)
https://cashahnawaz.com/itr-filing-for-nri-guide-for-non-resident-taxation/,Service Page (Income Tax - NRI Taxation),Tier 1,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing For NRI: Expert Guide To Non-Resident Taxation | CA Shahnawaz""",""ITR Filing for NRI: Guide for Non Resident Taxation"" — 15 H2 sections observed",lastmod 2026-07-09; Tier 1 priority service page (NRI Taxation — CLAUDE.md priority); title/H1 phrasing differs slightly
https://cashahnawaz.com/accounting-services/,Service Page (Accounting),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Title confirmed present (exact string not preserved in Phase 0 notes),Not separately quoted in Phase 0 evidence files,lastmod 2026-06-23; Tier 1 — covers Accounting/Bookkeeping/Financial Reporting/Outsourced Accounting (CLAUDE.md priorities)
https://cashahnawaz.com/audit-services/,Service Page (Audit),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Title confirmed present (exact string not preserved in Phase 0 notes),Not separately quoted in Phase 0 evidence files,lastmod 2026-07-29; Tier 1 — covers Tax Audit/Statutory Audit (CLAUDE.md priorities); no separate Internal Audit page found
https://cashahnawaz.com/startup-registration-india/,Service Page (Registration & Compliance),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Title confirmed present (exact string not preserved in Phase 0 notes),Not separately quoted in Phase 0 evidence files,lastmod 2026-08-10; Tier 1 priority service page (Startup Registration — CLAUDE.md priority)
https://cashahnawaz.com/section-8-company-registration/,Service Page (Registration & Compliance - NGO adjacent),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Title confirmed present (exact string not preserved in Phase 0 notes),Not separately quoted in Phase 0 evidence files,lastmod 2026-07-22; Tier 1 — maps to NGO Registration (CLAUDE.md priority)
https://cashahnawaz.com/public-limited-company/,Service Page (Registration & Compliance),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Title confirmed present (exact string not preserved in Phase 0 notes),Not separately quoted in Phase 0 evidence files,"lastmod 2026-06-09; Tier 1 — maps to Company Registration (CLAUDE.md priority); no Private Limited Company page found (gap, see priority-urls.md)"
https://cashahnawaz.com/llp-annual-filing/,Service Page (Registration & Compliance - ROC Compliance),Tier 1,Yes,VERIFIED — loaded successfully (Phase 0 fetch); title confirmed,DATA NOT AVAILABLE (no raw header tool),200-equivalent; no noindex detected; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Title confirmed present (exact string not preserved in Phase 0 notes),Not separately quoted in Phase 0 evidence files,lastmod 2026-06-18; Tier 1 — maps to ROC/Annual Compliance (CLAUDE.md priority); no dedicated LLP formation/registration page found (gap)
