"Priority","Page_or_Scope","Workstream","Implementation_Needed","Owner","Dependency","Validation","Status","Notes"
"P0","https://cashahnawaz.com/private-limited-company-registration/","Ownership and service page","Remove external redirect; publish original owned service page; add self-canonical, verified process/documents, own contact paths, Service schema and sitemap entry","Owner + CA + WordPress + SEO","Confirm service and approve content","200 response; self-canonical; own branding/GTM; sitemap and GSC inspection","Not started",""
"P0","https://cashahnawaz.com/annual-compliances-for-private-limited-company/","Ownership and service page","Replace external redirect with an owned compliance page if offered; otherwise remove internal links and use only a genuinely equivalent owned destination","Owner + CA + WordPress","Confirm service offering","No cross-domain redirect; same-intent final page","Not started",""
"P0","https://cashahnawaz.com/difference-between-accounting-and-bookkeeping/","Ownership and content","Restore original guide or consolidate into the owned Accounting service when intent is satisfied","Owner + Content + SEO","Confirm content ownership","Owned one-hop destination and relevant canonical","Not started",""
"P0","https://cashahnawaz.com/gst-council-constitution-functions-and-decision-making/","Ownership and content","Restore original CA-reviewed guide or consolidate into an appropriate owned GST resource","Owner + CA + Content","Confirm content ownership","Owned final page; facts reviewed","Not started",""
"P0","https://cashahnawaz.com/instant-tips-on-income-tax-deductions-that-you-can-start-figuring-out-today/","Ownership and content","Restore an original current guide or consolidate after professional review","Owner + CA + Content","Confirm content ownership","Owned canonical; all regulated claims reviewed","Not started",""
"P0","SITEWIDE - GTM","Analytics","Filter WhatsApp trigger to approved WhatsApp URLs; preserve and validate tel trigger","Analytics","GTM publish access","GTM Preview: ordinary links do not fire; one WhatsApp click fires once","Not started",""
"P0","SITEWIDE - Elementor forms","Analytics","Fire one lead event only after successful form response; include form_name, service and page_location","Analytics + WordPress","GTM and WordPress access","One success equals one GA4 event; errors/starts create none","Not started",""
"P0","https://cashahnawaz.com/about-us/","Trust","Remove or replace zero counters; add owner-verified practitioner identity, FRN/membership and reviewer role","Owner + CA + WordPress","Credential confirmation","No zero counters; verified details render on mobile/desktop","Not started",""
"P0","https://cashahnawaz.com/contact-us/ plus homepage/footer/schema","Local SEO","Confirm authoritative address and standardize one NAP format everywhere","Owner + WordPress + Local SEO","Owner decision on C-18 vs B38 vs B-110","Website, schema, GBP and citations match","Blocked - owner input",""
"P1","https://cashahnawaz.com/","Homepage SEO/CRO/performance","Refocus hero on CA and Tax Consultant in Mumbai; verified identity; specific CTA; priority-service routing; simplify/optimize LCP hero","SEO + Content + WordPress","Credential and NAP confirmation","CTA tests; mobile LCP retest; monitor local queries","Not started",""
"P1","https://cashahnawaz.com/when-can-i-expect-my-itr-refund/","High-impression content","Add descriptive H1; update refund process; improve title/meta; reviewed date; contextual ITR service CTA","CA + Content + SEO","CA review","One H1; current approved copy; monitor CTR","Not started",""
"P1","https://cashahnawaz.com/accounting-services/","Commercial SEO/CRO","Rewrite title/H1/first screen; define deliverables and workflow; correct copy; add proof; one form; contextual links","Content + SEO + WordPress","Service scope/proof","Valid Service schema; one form; tracked CTA","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-nri-guide-for-non-resident-taxation/","Commercial SEO/trust","Separate guide and service sections; add CA reviewer, remote workflow, documents, use cases and NRI-specific CTA","CA + Content + SEO","CA review","Reviewed date; one lead path; valid schema","Not started",""
"P1","https://cashahnawaz.com/income-tax-return-filing-in-mumbai/","Regulated commercial page","Correct AY 2020-21 FAQ; review all years/thresholds/penalties; reduce repetition; improve snippet; fix FAQ JSON-LD and tracking","CA + Content + SEO + Analytics","CA approval","No stale AY reference; valid schema; successful lead test","Not started",""
"P1","https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/","Regulated commercial page","Review old transition dates; clarify current registration/revalidation; add process, documents, reviewer, CTA and NGO links","CA + Content + SEO","CA approval","Current reviewed date; valid schema; stronger contextual links","Not started",""
"P1","https://cashahnawaz.com/gst-return-filing/","Commercial SEO/schema/CRO","Expand return/reconciliation/service cadence; improve CTA; remove duplicate forms; repair invalid FAQ JSON-LD","CA + Content + WordPress","Service scope","Valid schema; one main form; tracked CTA","Not started",""
"P1","https://cashahnawaz.com/gst-registration-online/","Commercial SEO","Make canonical GST registration owner; add eligibility, documents, process, obligations, local proof and CTA","CA + Content + SEO","Decide old guide treatment","Self-canonical; unique intent; relevant links","Not started",""
"P1","https://cashahnawaz.com/llp-annual-filing/","Regulated commercial page","Update FY 2021-22 framing; clarify current annual filing; distinguish from formation; add reviewed deadlines and links","CA + Content + SEO","CA approval","Current approved content and distinct intent","Not started",""
"P1","https://cashahnawaz.com/section-8-company-registration/","Commercial SEO/internal links","Review rules; improve snippet/process/documents; link from 12A, ITR-7 and Section 8 vs Trust content","CA + Content + SEO","CA approval","Four relevant contextual links; lead event tested","Not started",""
"P1","https://cashahnawaz.com/audit-services/","Commercial SEO/performance","Define statutory, tax and internal audit scope; add process/deliverables; stabilize layout CLS","CA + Content + WordPress","Confirm active audit services","Mobile CLS <= 0.1; approved scope","Not started",""
"P1","https://cashahnawaz.com/startup-registration-india/","Commercial SEO","Distinguish incorporation from DPIIT recognition; explain eligibility/deliverables; link to owned entity formation pages","CA + Content + SEO","Legal/CA review","Distinct intent; correct pathways; tracked lead","Not started",""
"P1","https://cashahnawaz.com/public-limited-company/","Commercial SEO","Review current process/compliance; improve documents and qualification; connect to ROC compliance hub","CA + Content + SEO","CA approval","Current review date; valid Service schema","Not started",""
"P1","https://cashahnawaz.com/tds-return-filing-services/","Regulated commercial page","Review forms/dates/penalties; add reconciliation, corrections, documents, cadence and CTA","CA + Content + Analytics","CA approval","Dated approved content; successful lead test","Not started",""
"P1","https://cashahnawaz.com/trademark-registration/","Commercial SEO/links","Clarify process and boundaries; improve proof; correct footer/legacy link paths","Content + SEO + WordPress","Confirm service boundaries","One canonical path; no legacy hops","Not started",""
"P1","https://cashahnawaz.com/contact-us/","CRO/mobile","Reduce mobile hero; surface contact actions; use one concise form; confirmed NAP; privacy/data-use text","Owner + WordPress + Analytics","NAP confirmation","Mobile render and all lead actions tested","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-healthcare-industry/","Industry content","Protect rankings; add CA reviewer and service path; verify profession/business distinctions and records","CA + Content","CA review","Approved content; main ITR link and tracked CTA","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-crypto-trading-in-india/","Industry content","Verify tax/TDS/loss treatment; date all regulated claims; add reviewer and service path","CA + Content","CA review","Approved current content; reviewed date","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-food-and-beverage-industry/","Industry content/links","Keep as canonical Food and Beverage page; replace links to obsolete slugs; add reviewer and service CTA","CA + Content + SEO","None","No obsolete target links; self-canonical","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-content-creators-influencers/","Industry content","Verify platform/foreign receipt/GST/expense examples; add reviewer and service handoff","CA + Content","CA review","Approved current examples; tracked CTA","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-beauty-wellness-industry/","Industry content/links","Repair obsolete Food and Real Estate links; add industry records/risks, reviewer and CTA","CA + Content + SEO","None","No 404 links; current approved content","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-wholesale-retail-trade-industry/","Industry content/links","Replace broken company-registration link; add industry records/risks, reviewer and CTA","CA + Content + SEO","Restore owned company page","No 404 link; current approved content","Not started",""
